,star_name,distance,mass,radius,gravity
0,Sirius,8.6,4.18E+30,1189647000,2.92673E+13
1,Canopus,310,2.98E+31,49394700000,1.21263E+11
2,Alpha Centauri,4.4,2.19E+30,834840000,3.11305E+13
3,Arcturus,37,2.19E+30,18088200000,66313393214
4,Vega,25,4.38E+30,1878390000,1.22985E+13
5,Capella,43,5.17E+30,8348400000,7.35811E+11
6,Rigel,860,4.57E+31,54890730000,1.50567E+11
7,Procyon,11.4,2.98E+30,1321830000,1.69332E+13
8,Betelgeuse,0640[1],3.98E+31,6.60915E+11,903104584.5
9,Achernar,144,1.33E+31,6470010000,3.15692E+12
10,Hadar,390,2.09E+31,5983020000,5.78559E+12
11,Altair,17,3.58E+30,1252260000,2.26403E+13
12,Acrux,320,3.58E+31,6191730000,9.26078E+12
13,Aldebaran,65,2.98E+30,30610800000,31574840683
14,Antares,600,2.39E+31,4.73076E+11,1057593280
15,Spica,260,2.27E+31,5196879000,8.34757E+12
16,Pollux,34,3.78E+30,6122160000,9.9987E+11
17,Fomalhaut,25,3.78E+30,1252260000,2.38981E+13
18,Deneb,"2,600",3.78E+31,1.41227E+11,18789567646
19,Mimosa,350,3.18E+31,5843880000,9.24095E+12
20,Regulus,77,7.56E+30,2156670000,1.61144E+13
21,Adhara,430,2.49E+31,9739800000,2.59902E+12
22,Shaula,700,2.88E+31,6122160000,7.63059E+12
23,Castor,52,5.57E+30,1669680000,1.98103E+13
24,Gacrux,88,2.98E+30,58438800000,8663391661
25,Bellatrix,240,1.71E+31,4035060000,1.04183E+13
26,Elnath,130,9.95E+30,2921940000,1.15512E+13
27,Miaplacidus,110,6.96E+30,4730760000,3.08465E+12
28,Alnilam,"2,000",6.36E+31,29219400000,7.39276E+11
29,Gamma Velorum,"1,100",1.79E+31,4174200000,1.01881E+13
30,Alnair,101,7.96E+30,2365380000,1.41012E+13
31,Alioth,81,5.77E+30,2921940000,6.69969E+12
32,Alnitak,1050,6.56E+31,13914000000,3.36209E+12
33,Dubhe,120,8.45E+30,20871000000,1.92443E+11
34,Mirfak,590,1.69E+31,47307600000,74912857307
35,Wezen,"1,600",3.38E+31,1.3914E+11,17319852609
36,Sargas,270,1.13E+31,18088200000,3.43624E+11
37,Kaus Australis,140,6.96E+30,4730760000,3.08465E+12
38,Avior,630,1.79E+31,90441000000,21702565052
39,Alkaid,104,1.21E+31,2365380000,2.15044E+13
40,Menkalinan,81,4.75E+30,1927089000,1.26939E+13
41,Atria,390,1.39E+31,64004400000,33703705178
42,Alhena,109,5.57E+30,2295810000,1.04782E+13
43,Peacock,180,1.17E+31,3339360000,1.04358E+13
44,Alsephina[2],80,4.77E+30,2017530000,1.16298E+13
45,Mirzam,500,2.69E+31,6957000000,5.5016E+12
46,Polaris,430,1.07E+31,27132300000,1.44684E+11
47,Alphard,180,5.97E+30,34785000000,48903113250
48,Mintaka,1200,4.77E+31,11479050000,3.59252E+12
49,Scheat,196,4.18E+30,66091500000,9482598137
50,Almaaz,653,2.98E+31,97398000000,31188209981
51,Rasalgethi,360,5.57E+30,1.94796E+11,1455449799
52,Tau Ceti,11.9,1.56E+30,621260100,4.00142E+13
53,Delta Pavonis,19.92,1.97E+30,848754000,2.71337E+13
54,Ran,10.48,1.63E+30,514818000,6.10247E+13
55,V382 Carinae,"8,900",3.98E+31,3.37415E+11,3464988362
56,Eta Carinae,"7,500",1.99E+32,6.12912E+11,5250533636
57,Delta Cephei,887,8.95E+30,30958650000,92607839761
58,Mu Cephei,"6,000",3.82E+31,6.7622E+11,828178517
59,Titawin,44.25,2.53E+30,1029636000,2.36285E+13
60,Rho Cassiopeiae,"8,154",4.38E+31,6.82482E+11,931622412.2
61,P Cygni,"5,545",5.97E+31,52873200000,2.11665E+11
62,VV Cephei,"4,900",3.62E+31,7.30485E+11,672741240.5
63,61 Cygni,11.41,1.39E+30,462640500,6.45075E+13
